     173.6666   1.5297  1.658132958958  -0.6811034
2457431.500000000     193.3293   1.0914  1.631896749645  -1.3671582
2457432.500000000     193.7843   1.0795  1.631103019803  -1.3814349
2457433.500000000     194.2398   1.0675  1.630301065434  -1.3956387
2457434.500000000     194.6957   1.0555  1.629490928963  -1.4097685
2457435.500000000     195.1520   1.0434  1.628672653388  -1.4238233
2457436.500000000     195.6088   1.0312  1.627846282284  -1.4378021
2457437.500000000     196.0661   1.0189  1.627011859805  -1.4517040
2457438.500000000     196.5238   1.0065  1.626169430683  -1.4655280
2457439.500000000     196.9820   0.9941  1.625319040234  -1.4792730
2457440.500000000     197.4407   0.9816  1.624460734363  -1.4929380
2457441.500000000     197.8999   0.9690  1.623594559559  -1.5065220
2457442.500000000     198.3595   0.9563  1.622720562908  -1.5200239
2457443.500000000     198.8197   0.9436  1.621838792084  -1.5334428
2457444.500000000     199.2803   0.9308  1.620949295362  -1.5467776
2457445.500000000     199.7415   0.9179  1.620052121610  -1.5600272
2457446.500000000     200.2031   0.9049  1.619147320303  -1.5731907
2457447.500000000     200.6653   0.8919  1.618234941515  -1.5862669
2457448.500000000     201.1280   0.8788  1.617315035927  -1.5992549
2457449.500000000     201.5912   0.8656  1.616387654830  -1.6121536
2457450.500000000     202.0550   0.8524  1.615452850126  -1.6249618
2457451.500000000     202.5193   0.8391  1.614510674332  -1.6376785
2457452.500000000     202.9841   0.8257  1.613561180580  -1.6503027
2457453.500000000     203.4495   0.8122  1.612604422621  -1.6628334
2457454.500000000     203.9154   0.7987  1.611640454824  -1.6752693
2457455.500000000     204.3819   0.7851  1.610669332188  -1.6876095
2457456.500000000     204.8489   0.7714  1.609691110333  -1.6998529
2457457.500000000     205.3166   0.7577  1.608705845511  -1.7119983
2457458.500000000     205.7847   0.7439  1.607713594605  -1.7240446
2457459.500000000     206.2535   0.7300  1.606714415131  -1.7359908
2457460.500000000     206.7228   0.7160  1.605708365242  -1.7478358
2457461.500000000     207.1928   0.7020  1.604695503728  -1.7595784
2457462.500000000     207.6633   0.6880  1.603675890020  -1.7712176
2457463.500000000     208.1344   0.6738  1.602649584194  -1.7827522
2457464.500000000     208.6061   0.6596  1.601616646970  -1.7941811
2457465.500000000     209.0785   0.6454  1.600577139720  -1.8055032
2457466.500000000     209.5514   0.6311  1.599531124462  -1.8167173
2457467.500000000     210.0250   0.6167  1.598478663869  -1.8278223
2457468.500000000     210.4992   0.6022  1.597419821267  -1.8388172
2457469.500000000     210.9740   0.5877  1.596354660639  -1.8497007
2457470.500000000     211.4494   0.5732  1.595283246628  -1.8604717
2457471.500000000     211.9255   0.5585  1.594205644536  -1.8711290
2457472.500000000     212.4022   0.5438  1.593121920328  -1.8816716
2457473.500000000     212.8796   0.5291  1.592032140635  -1.8920982
2457474.500000000     213.3577   0.5143  1.590936372751  -1.9024077
2457475.500000000     213.8363   0.4994  1.589834684637  -1.9125989
2457476.500000000     214.3157   0.4845  1.588727144924  -1.9226708
2457477.500000000     214.7957   0.4696  1.587613822909  -1.9326221
2457478.500000000     215.2764   0.4546  1.586494788559  -1.9424517
2457479.500000000     215.7578   0.4395  1.585370112515  -1.9521584
2457480.500000000     216.2398   0.4244  1.584239866090  -1.9617410
2457481.500000000     216.7226   0.4092  1.583104121268  -1.9711984
2457482.500000000     217.2060   0.3939  1.581962950707  -1.9805294
2457483.500000000     217.6901   0.3787  1.580816427741  -1.9897329
2457484.500000000     218.1750   0.3633  1.579664626381  -1.9988076
2457485.500000000     218.6605   0.3480  1.578507621320  -2.0077524
2457486.500000000     219.1468   0.3325  1.577345487927  -2.0165662
2457487.500000000     219.6337   0.3171  1.576178302259  -2.0252476
2457488.500000000     220.1214   0.3016  1.575006141059  -2.0337955
2457489.500000000     220.6099   0.2860  1.573829081758  -2.0422088
2457490.500000000     221.0990   0.2704  1.572647202477  -2.0504863
2457491.500000000     221.5889   0.2547  1.571460582030  -2.0586267
2457492.500000000     222.0795   0.2390  1.570269299924  -2.0666288
2457493.500000000     222.5709   0.2233  1.569073436368  -2.0744914
2457494.500000000     223.0630   0.2075  1.567873072263  -2.0822134
2457495.500000000     223.5559   0.1917  1.566668289215  -2.0897934
2457496.500000000     224.0495   0.1759  1.565459169525  -2.0972304
2457497.500000000     224.5439   0.1600  1.564245796195  -2.1045230
2457498.500000000     225.0391   0.1441  1.563028252928  -2.1116701
2457499.500000000     225.5350   0.1281  1.561806624128  -2.1186704
2457500.500000000     226.0317   0.1121  1.560580994899  -2.1255229
2457501.500000000     226.5292   0.0961  1.559351451047  -2.1322261
2457502.500000000     227.0275   0.0800  1.558118079077  -2.1387789
2457503.500000000     227.5266   0.0639  1.556880966197  -2.1451801
2457504.500000000     228.0265   0.0478  1.555640200315  -2.1514285
2457505.500000000     228.5271   0.0316  1.554395870036  -2.1575229
2457506.500000000     229.0286   0.0155  1.553148064664  -2.1634621
2457507.500000000     229.5309  -0.0008  1.551896874202  -2.1692448
2457508.500000000     230.0340  -0.0170  1.550642389354  -2.1748699
2457509.500000000     230.5379  -0.0332  1.549384701517  -2.1803362
2457510.500000000     231.0426  -0.0495  1.548123902788  -2.1856423
2457511.500000000     231.5481  -0.0658  1.546860085956  -2.1907872
2457512.500000000     232.0545  -0.0822  1.545593344506  -2.1957696
2457513.500000000     232.5617  -0.0985  1.544323772616  -2.2005884
2457514.500000000     233.0697  -0.1149  1.543051465154  -2.2052424
2457515.500000000     233.5786  -0.1313  1.541776517680  -2.2097303
2457516.500000000     234.0884  -0.1477  1.540499026440  -2.2140509
2457517.500000000     234.5989  -0.1641  1.539219088372  -2.2182031
2457518.500000000     235.1104  -0.1805  1.537936801096  -2.2221857
2457519.500000000     235.6226  -0.1970  1.536652262917  -2.2259974
2457520.500000000     236.1358  -0.2134  1.535365572819  -2.2296372
2457521.500000000     236.6498  -0.2299  1.534076830464  -2.2331039
2457522.500000000     237.1646  -0.2464  1.532786136192  -2.2363963
2457523.500000000     237.6804  -0.2629  1.531493591017  -2.2395132
2457524.500000000     238.1970  -0.2793  1.530199296625  -2.2424534
2457525.500000000     238.7145  -0.2958  1.528903355369  -2.2452158
2457526.500000000     239.2328  -0.3123  1.527605870265  -2.2477993
2457527.500000000     239.7521  -0.3288  1.526306944994  -2.2502027
2457528.500000000     240.2722  -0.3454  1.525006683893  -2.2524249
2457529.500000000     240.7933  -0.3619  1.523705191951  -2.2544648
2457530.500000000     241.3152  -0.3784  1.522402574810  -2.2563212
2457531.500000000     241.8380  -0.3949  1.521098938758  -2.2579930
2457532.500000000     242.3617  -0.4114  1.519794390725  -2.2594791
2457533.500000000     242.8863  -0.4278  1.518489038279  -2.2607783
2457534.500000000     243.4118  -0.4443  1.517182989618  -2.2618897
2457535.500000000     243.9383  -0.4608  1.515876353568  -2.2628122
2457536.500000000     244.4656  -0.4772  1.514569239576  -2.2635446
2457537.500000000     244.9939  -0.4937  1.513261757708  -2.2640859
2457538.500000000     245.5230  -0.5101  1.511954018640  -2.2644351
2457539.500000000     246.0531  -0.5266  1.510646133652  -2.2645911
2457540.500000000     246.5841  -0.5430  1.509338214624  -2.2645528
2457541.500000000     247.1161  -0.5593  1.508030374028  -2.2643193
2457542.500000000     247.6489  -0.5757  1.506722724921  -2.2638895
2457543.500000000     248.1827  -0.5920  1.505415380939  -2.2632625
2457544.500000000     248.7174  -0.6084  1.504108456287  -2.2624373
2457545.500000000     249.2531  -0.6247  1.502802065736  -2.2614129
2457546.500000000     249.7897  -0.6409  1.501496324614  -2.2601883
2457547.500000000     250.3272  -0.6572  1.500191348798  -2.2587626
2457548.500000000     250.8657  -0.6734  1.498887254702  -2.2571348
2457549.500000000     251.4051  -0.6896  1.497584159275  -2.2553041
2457550.500000000     251.9454  -0.7057  1.496282179986  -2.2532696
2457551.500000000     252.4867  -0.7218  1.494981434819  -2.2510304
2457552.500000000     253.0290  -0.7379  1.493682042263  -2.2485856
2457553.500000000     253.5722  -0.7539  1.492384121303  -2.2459344
2457554.500000000     254.1163  -0.7699  1.491087791408  -2.2430758
2457555.500000000     254.6614  -0.7859  1.489793172526  -2.2400092
2457556.500000000     255.2074  -0.8018  1.488500385067  -2.2367337
2457557.500000000     255.7544  -0.8177  1.487209549898  -2.2332485
2457558.500000000     256.3024  -0.8335  1.485920788326  -2.2295530
2457559.500000000     256.8513  -0.8493  1.484634222094  -2.2256463
2457560.500000000     257.4011  -0.8650  1.483349973366  -2.2215277
2457561.500000000     257.9519  -0.8806  1.482068164714  -2.2171965
2457562.500000000     258.5037  -0.8963  1.480788919109  -2.2126521
2457563.500000000     259.0564  -0.9118  1.479512359905  -2.2078938
2457564.500000000     259.6101  -0.9273  1.478238610827  -2.2029209
2457565.500000000     260.1648  -0.9427  1.476967795958  -2.1977329
2457566.500000000     260.7204  -0.9581  1.475700039724  -2.1923292
2457567.500000000     261.2769  -0.9734  1.474435466882  -2.1867092
2457568.500000000     261.8344  -0.9887  1.473174202502  -2.1808724
2457569.500000000     262.3929  -1.0039  1.471916371952  -2.1748182
2457570.500000000     262.9524  -1.0190  1.470662100889  -2.1685462
2457571.500000000     263.5128  -1.0340  1.469411515235  -2.1620560
2457572.500000000     264.0741  -1.0490  1.468164741164  -2.1553472
2457573.500000000     264.6365  -1.0638  1.466921905086  -2.1484192
2457574.500000000     265.1997  -1.0787  1.465683133633  -2.1412719
2457575.500000000     265.7640  -1.0934  1.464448553644  -2.1339048
2457576.500000000     266.3291  -1.1080  1.463218292146  -2.1263175
2457577.500000000     266.8953  -1.1226  1.461992476340  -2.1185099
2457578.500000000     267.4624  -1.1371  1.460771233586  -2.1104816
2457579.500000000     268.0304  -1.1515  1.459554691385  -2.1022324
2457580.500000000     268.5994  -1.1658  1.458342977363  -2.0937622
2457581.500000000     269.1694  -1.1800  1.457136219255  -2.0850707
2457582.500000000     269.7403  -1.1941  1.455934544889  -2.0761579
2457583.500000000     270.3121  -1.2081  1.454738082165  -2.0670235
2457584.500000000     270.8849  -1.2221  1.453546959042  -2.0576676
2457585.500000000     271.4587  -1.2359  1.452361303518  -2.0480899
2457586.500000000     272.0334  -1.2496  1.451181243609  -2.0382907
2457587.500000000     272.6090  -1.2632  1.450006907328  -2.0282698
2457588.500000000     273.1855  -1.2767  1.448838422672  -2.0180273
2457589.500000000     273.7630  -1.2901  1.447675917596  -2.0075633
2457590.500000000     274.3414  -1.3034  1.446519519999  -1.9968780
2457591.500000000     274.9208  -1.3166  1.445369357698  -1.9859714
2457592.500000000     275.5011  -1.3297  1.444225558408  -1.9748437
2457593.500000000     276.0823  -1.3427  1.443088249724  -1.9634953
2457594.500000000     276.6644  -1.3555  1.441957559095  -1.9519263
2457595.500000000     277.2474  -1.3682  1.440833613807  -1.9401371
2457596.500000000     277.8314  -1.3808  1.439716540954  -1.9281280
2457597.500000000     278.4162  -1.3933  1.438606467425  -1.9158995
2457598.500000000     279.0020  -1.4056  1.437503519874  -1.9034518
2457599.500000000     279.5887  -1.4178  1.436407824704  -1.8907855
2457600.500000000     280.1762  -1.4299  1.435319508038  -1.8779010
2457601.500000000     280.7647  -1.4419  1.434238695698  -1.8647990
2457602.500000000     281.3541  -1.4537  1.433165513181  -1.8514800
2457603.500000000     281.9443  -1.4654  1.432100085637  -1.8379447
2457604.500000000     282.5354  -1.4769  1.431042537844  -1.8241936
2457605.500000000     283.1274  -1.4883  1.429992994185  -1.8102276
2457606.500000000     283.7203  -1.4996  1.428951578622  -1.7960472
2457607.500000000     284.3141  -1.5107  1.427918414674  -1.7816534
2457608.500000000     284.9087  -1.5217  1.426893625391  -1.7670469
2457609.500000000     285.5041  -1.5325  1.425877333328  -1.7522287
2457610.500000000     286.1004  -1.5432  1.424869660523  -1.7371997
2457611.500000000     286.6976  -1.5537  1.423870728467  -1.7219608
2457612.500000000     287.2956  -1.5640  1.422880658084  -1.7065130
2457613.500000000     287.8944  -1.5743  1.421899569704  -1.6908575
2457614.500000000     288.4941  -1.5843  1.420927583038  -1.6749951
2457615.500000000     289.0946  -1.5942  1.419964817150  -1.6589272
2457616.500000000     289.6959  -1.6039  1.419011390431  -1.6426549
2457617.500000000     290.2980  -1.6135  1.418067420576  -1.6261794
2457618.500000000     290.9009  -1.6229  1.417133024557  -1.6095021
2457619.500000000     291.5046  -1.6321  1.416208318595  -1.5926243
2457620.500000000     292.1092  -1.6412  1.415293418135  -1.5755472
2457621.500000000     292.7144  -1.6501  1.414388437822  -1.5582722
2457622.500000000     293.3205  -1.6588  1.413493491471  -1.5408010
2457623.500000000     293.9273  -1.6673  1.412608692044  -1.5231349
2457624.500000000     294.5349  -1.6757  1.411734151620  -1.5052755
2457625.500000000     295.1433  -1.6839  1.410869981370  -1.4872245
2457626.500000000     295.7524  -1.6919  1.410016291531  -1.4689835
2457627.500000000     296.3622  -1.6997  1.409173191379  -1.4505540
2457628.500000000     296.9728  -1.7073  1.408340789206  -1.4319380
2457629.500000000     297.5841  -1.7148  1.407519192288  -1.4131370
2457630.500000000     298.1961  -1.7221  1.406708506860  -1.3941530
2457631.500000000     298.8088  -1.7292  1.405908838093  -1.3749879
2457632.500000000     299.4222  -1.7360  1.405120290064  -1.3556435
2457633.500000000     300.0363  -1.7427  1.404342965731  -1.3361219
2457634.500000000     300.6511  -1.7493  1.403576966906  -1.3164250
2457635.500000000     301.2665  -1.7556  1.402822394230  -1.2965549
2457636.500000000     301.8826  -1.7617  1.402079347149  -1.2765136
2457637.500000000     302.4994  -1.7676  1.401347923885  -1.2563033
2457638.500000000     303.1168  -1.7733  1.400628221411  -1.2359262
2457639.500000000     303.7348  -1.7788  1.399920335426  -1.2153845
2457640.500000000     304.3535  -1.7842  1.399224360328  -1.1946805
2457641.500000000     304.9727  -1.7893  1.398540389191  -1.1738166
2457642.500000000     305.5926  -1.7942  1.397868513741  -1.1527950
2457643.500000000     306.2131  -1.7989  1.397208824328  -1.1316181
2457644.500000000     306.8342  -1.8034  1.396561409905  -1.1102885
2457645.500000000     307.4558  -1.8077  1.395926358001  -1.0888085
2457646.500000000     308.0780  -1.8118  1.395303754698  -1.0671807
2457647.500000000     308.7007  -1.8156  1.394693684610  -1.0454078
2457648.500000000     309.3240  -1.8193  1.394096230852  -1.0234922
2457649.500000000     309.9478  -1.8227  1.393511475027  -1.0014367
2457650.500000000     310.5722  -1.8260  1.392939497195  -0.9792439
2457651.500000000     311.1970  -1.8290  1.392380375857  -0.9569165
2457652.500000000     311.8224  -1.8318  1.391834187930  -0.9344574
2457653.500000000     312.4482  -1.8344  1.391301008722  -0.9118692
2457654.500000000     313.0745  -1.8368  1.390780911913  -0.8891549
2457655.500000000     313.7013  -1.8389  1.390273969532  -0.8663173
2457656.500000000     314.3285  -1.8408  1.389780251938  -0.8433594
2457657.500000000     314.9562  -1.8426  1.389299827795  -0.8202840
2457658.500000000     315.5843  -1.8441  1.388832764056  -0.7970942
2457659.500000000     316.2128  -1.8453  1.388379125934  -0.7737930
2457660.500000000     316.8417  -1.8464  1.387938976891  -0.7503834
2457661.500000000     317.4710  -1.8472  1.387512378610  -0.7268686
2457662.500000000     318.1007  -1.8478  1.387099390978  -0.7032517
2457663.500000000     318.7308  -1.8482  1.386700072069  -0.6795358
2457664.500000000     319.3612  -1.8484  1.386314478122  -0.6557241
2457665.500000000     319.9920  -1.8483  1.385942663529  -0.6318198
2457666.500000000     320.6231  -1.8480  1.385584680813  -0.6078262
2457667.500000000     321.2545  -1.8475  1.385240580617  -0.5837466
2457668.500000000     321.8862  -1.8468  1.384910411684  -0.5595842
2457669.500000000     322.5182  -1.8458  1.384594220844  -0.5353424
2457670.500000000     323.1505  -1.8447  1.384292053003  -0.5110245
2457671.500000000     323.7831  -1.8432  1.384003951127  -0.4866339
2457672.500000000     324.4159  -1.8416  1.383729956229  -0.4621740
2457673.500000000     325.0490  -1.8397  1.383470107360  -0.4376482
2457674.500000000     325.6823  -1.8377  1.383224441594  -0.4130598
2457675.500000000     326.3158  -1.8354  1.382992994019  -0.3884125
2457676.500000000     326.9495  -1.8328  1.382775797725  -0.3637096
2457677.500000000     327.5835  -1.8301  1.382572883794  -0.3389546
2457678.500000000     328.2175  -1.8271  1.382384281290  -0.3141510
2457679.500000000     328.8518  -1.8239  1.382210017251  -0.2893024
2457680.500000000     329.4862  -1.8204  1.382050116683  -0.2644123
2457681.500000000     330.1207  -1.8168  1.381904602548  -0.2394842
2457682.500000000     330.7554  -1.8129  1.381773495758  -0.2145216
2457683.500000000     331.3902  -1.8088  1.381656815170  -0.1895281
2457684.500000000     332.0251  -1.8045  1.381554577576  -0.1645073
2457685.500000000     332.6600  -1.7999  1.381466797704  -0.1394629
2457686.500000000     333.2951  -1.7952  1.381393488206  -0.1143984
2457687.500000000     333.9301  -1.7902  1.381334659660  -0.0893173
2457688.500000000     334.5653  -1.7850  1.381290320562  -0.0642233
2457689.500000000     335.2004  -1.7795  1.381260477329  -0.0391200
2457690.500000000     335.8356  -1.7739  1.381245134292  -0.0140110
2457691.500000000     336.4708  -1.7680  1.381244293695   0.0111001
2457692.500000000     337.1060  -1.7619  1.381257955695   0.0362097
2457693.500000000     337.7411  -1.7556  1.381286118362   0.0613141
2457694.500000000     338.3762  -1.7491  1.381328777681   0.0864097
2457695.500000000     339.0113  -1.7424  1.381385927552   0.1114930
2457696.500000000     339.6463  -1.7354  1.381457559792   0.1365603
2457697.500000000     340.2812  -1.7283  1.381543664137   0.1616081
2457698.500000000     340.9161  -1.7209  1.381644228247   0.1866328
2457699.500000000     341.5508  -1.7133  1.381759237710   0.2116306
2457700.500000000     342.1854  -1.7056  1.381888676042   0.2365982
2457701.500000000     342.8199  -1.6976  1.382032524699   0.2615318
2457702.500000000     343.4542  -1.6894  1.382190763078   0.2864280
2457703.500000000     344.0884  -1.6810  1.382363368528   0.3112832
2457704.500000000     344.7224  -1.6724  1.382550316355   0.3360939
2457705.500000000     345.3562  -1.6636  1.382751579831   0.3608566
2457706.500000000     345.9898  -1.6545  1.382967130197   0.3855678
2457707.500000000     346.6233  -1.6453  1.383196936680   0.4102239
2457708.500000000     347.2564  -1.6359  1.383440966498   0.4348215
2457709.500000000     347.8894  -1.6263  1.383699184874   0.4593571
2457710.500000000     348.5221  -1.6165  1.383971555045   0.4838275
2457711.500000000     349.1546  -1.6065  1.384258038272   0.5082290
2457712.500000000     349.7867  -1.5964  1.384558593856   0.5325585
2457713.500000000     350.4186  -1.5860  1.384873179150   0.5568124
2457714.500000000     351.0502  -1.5754  1.385201749568   0.5809874
2457715.500000000     351.6815  -1.5647  1.385544258603   0.6050802
2457716.500000000     352.3124  -1.5538  1.385900657840   0.6290876
2457717.500000000     352.9430  -1.5426  1.386270896974   0.6530062
2457718.500000000     353.5733  -1.5314  1.386654923821   0.6768329
2457719.500000000     354.2032  -1.5199  1.387052684338   0.7005644
2457720.500000000     354.8327  -1.5082  1.387464122636   0.7241976
2457721.500000000     355.4619  -1.4964  1.387889180999   0.7477293
2457722.500000000     356.0906  -1.4844  1.388327799898   0.7711563
2457723.500000000     356.7189  -1.4723  1.388779918015   0.7944756
2457724.500000000     357.3469  -1.4599  1.389245472257   0.8176841
2457725.500000000     357.9743  -1.4474  1.389724397773   0.8407789
2457726.500000000     358.6014  -1.4347  1.390216627980   0.8637569
2457727.500000000     359.2279  -1.4219  1.390722094577   0.8866152
2457728.500000000     359.8540  -1.4089  1.391240727565   0.9093508
2457729.500000000       0.4797  -1.3958  1.391772455269   0.9319609
2457730.500000000       1.1048  -1.3825  1.392317204359   0.9544425
2457731.500000000       1.7294  -1.3690  1.392874899870   0.9767930
2457732.500000000       2.3536  -1.3554  1.393445465224   0.9990095
2457733.500000000       2.9771  -1.3417  1.394028822257   1.0210893
2457734.500000000       3.6002  -1.3278  1.394624891231   1.0430297
2457735.500000000       4.2227  -1.3137  1.395233590868   1.0648281
2457736.500000000       4.8447  -1.2995  1.395854838362   1.0864818
2457737.500000000       5.4661  -1.2852  1.396488549414   1.1079882
2457738.500000000       6.0869  -1.2707  1.397134638248   1.1293448
2457739.500000000       6.7071  -1.2561  1.397793017636   1.1505492
2457740.500000000       7.3268  -1.2414  1.398463598928   1.1715989
2457741.500000000       7.9458  -1.2265  1.399146292070   1.1924914
2457742.500000000       8.5642  -1.2115  1.399841005637   1.2132245
2457743.500000000       9.1820  -1.1964  1.400547646850   1.2337958
2457744.500000000       9.7992  -1.1811  1.401266121603   1.2542030
2457745.500000000      10.4157  -1.1658  1.401996334491   1.2744439
2457746.500000000      11.0315  -1.1503  1.402738188836   1.2945163
2457747.500000000      11.6467  -1.1347  1.403491586707   1.3144181
2457748.500000000      12.2612  -1.1190  1.404256428953   1.3341472
2457749.500000000      12.8751  -1.1031  1.405032615217   1.3537015
2457750.500000000      13.4882  -1.0872  1.405820043971   1.3730790
2457751.500000000      14.1007  -1.0712  1.406618612535   1.3922778
2457752.500000000      14.7124  -1.0550  1.407428217104   1.4112958
2457753.500000000      15.3234  -1.0388  1.408248752771   1.4301312
